PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,20456069052009072814304302000265,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,20456069052009072814304302000265,3,EPC-W1,Install more efficient water heater.,MEDIUM
SHORT,20456069052009072814304302000265,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,20456069052009072814304302000265,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,20456069052009072814304302000265,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,20456069052009072814304302000265,4,EPC-R4,Consider installing PV.,LOW
SHORT,20492681032009072814412565000907,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
LONG,20492681032009072814412565000907,1,EPC-W2,Consider replacing HWS with point of use system.,LOW
OTHER,20492681032009072814412565000907,1,USER,TEXT,HIGH
MEDIUM,20492681032009072814412565000907,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,20492681032009072814412565000907,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,20492681032009072814412565000907,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,20492681032009072814412565000907,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,20492681032009072814412565000907,3,EPC-H5,Add local time control to heating system.,LOW
LONG,20492681032009072814412565000907,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,20492681032009072814412565000907,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
MEDIUM,20492681032009072814412565000907,4,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,20492681032009072814412565000907,4,EPC-R4,Consider installing PV.,LOW
SHORT,20492681032009072814412565000907,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,20492681032009072814412565000907,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,20492681032009072814412565000907,5,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,20492681032009072814412565000907,6,EPC-W1,Install more efficient water heater.,LOW
MEDIUM,20492681032009072814412565000907,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,16971390062009051416374002040930,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,16971390062009051416374002040930,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,16971390062009051416374002040930,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,MEDIUM
SHORT,16971390062009051416374002040930,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,16971390062009051416374002040930,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
MEDIUM,16971390062009051416374002040930,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,16971390062009051416374002040930,3,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,16971390062009051416374002040930,3,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
MEDIUM,16971390062009051416374002040930,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
MEDIUM,16971390062009051416374002040930,4,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,16971390062009051416374002040930,4,EPC-H2,Add time control to heating system.,MEDIUM
LONG,16971390062009051416374002040930,4,EPC-W2,Consider replacing HWS with point of use system.,LOW
MEDIUM,16971390062009051416374002040930,5,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,16971390062009051416374002040930,5,EPC-R1,Consider installing a ground source heat pump.,HIGH
SHORT,16971390062009051416374002040930,5,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
MEDIUM,16971390062009051416374002040930,6,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,16971390062009051416374002040930,6,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,16971390062009051416374002040930,7,EPC-W1,Install more efficient water heater.,LOW
SHORT,20853880802009072316163167200260,1,EPC-W3,Improve insulation on HWS storage.,LOW
LONG,20853880802009072316163167200260,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
MEDIUM,20853880802009072316163167200260,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
LONG,20853880802009072316163167200260,2,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",LOW
MEDIUM,20853880802009072316163167200260,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,20853880802009072316163167200260,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,20853880802009072316163167200260,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,20853880802009072316163167200260,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,20853880802009072316163167200260,3,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
MEDIUM,20853880802009072316163167200260,4,EPC-H6,Add local temperature control to the heating system.,LOW
LONG,20853880802009072316163167200260,4,EPC-R3,Consider installing solar water heating.,LOW
SHORT,20853880802009072316163167200260,4,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
SHORT,20853880802009072316163167200260,5,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,20853880802009072316163167200260,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,20853880802009072316163167200260,5,EPC-H8,Add weather compensation controls to heating system.,LOW
MEDIUM,20853880802009072316163167200260,6,EPC-H5,Add local time control to heating system.,LOW
SHORT,20853880802009072316163167200260,6,EPC-H7,Add optimum start/stop to the heating system.,LOW
MEDIUM,20853880802009072316163167200260,7,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
MEDIUM,21456950062009080709253355230830,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,21456950062009080709253355230830,1,EPC-W1,Install more efficient water heater.,LOW
SHORT,21456950062009080709253355230830,2,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,LOW
MEDIUM,21456950062009080709253355230830,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,21456950062009080709253355230830,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,21456950062009080709253355230830,3,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,21456950062009080709253355230830,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,21456950062009080709253355230830,4,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
MEDIUM,21456950062009080709253355230830,5,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,21456950062009080709253355230830,5,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
SHORT,21456950062009080709253355230830,6,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
MEDIUM,21456950062009080709253355230830,6,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,21456950062009080709253355230830,7,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,21456950062009080709253355230830,8,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,22054320442009081909111529300040,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,MEDIUM
LONG,22054320442009081909111529300040,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,22054320442009081909111529300040,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,22054320442009081909111529300040,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,22054320442009081909111529300040,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,22054320442009081909111529300040,3,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,22054320442009081909111529300040,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,22054320442009081909111529300040,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,22400837212009082814570303000247,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,22400837212009082814570303000247,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,22400837212009082814570303000247,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,22400837212009082814570303000247,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,22400837212009082814570303000247,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,22400837212009082814570303000247,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,22400837212009082814570303000247,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,22400837212009082814570303000247,3,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,22400837212009082814570303000247,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,22400837212009082814570303000247,5,EPC-H5,Add local time control to heating system.,MEDIUM
OTHER,147869940802019081511163587900980,1,USER,Consider changing all lighting lamps to LED,LOW
LONG,147869940802019081511163587900980,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,147869940802019081511163587900980,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,147869940802019081511163587900980,2,EPC-H6,Add local temperature control to the heating system.,LOW
LONG,147869940802019081511163587900980,3,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,147869940802019081511163587900980,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
OTHER,147942700542019081511144707710980,1,USER,Consider changing all lighting lamps to LED,LOW
SHORT,147942700542019081511144707710980,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
SHORT,147942700542019081511144707710980,2,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,LOW
SHORT,147942700542019081511144707710980,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
MEDIUM,147259960502019081511140847500980,1,EPC-H2,Add time control to heating system.,MEDIUM
LONG,147259960502019081511140847500980,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,147259960502019081511140847500980,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,147259960502019081511140847500980,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,147259960502019081511140847500980,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,147259960502019081511140847500980,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,147259960502019081511140847500980,4,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,147259960502019081511140847500980,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,137874540062018091808291167910450,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,137874540062018091808291167910450,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,137874540062018091808291167910450,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,137874540062018091808291167910450,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,137874540062018091808291167910450,5,EPC-H5,Add local time control to heating system.,LOW
SHORT,55956319912011102610531903909866,1,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,55956319912011102610531903909866,1,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
MEDIUM,55956319912011102610531903909866,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,55956319912011102610531903909866,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,55956319912011102610531903909866,2,EPC-H5,Add local time control to heating system.,MEDIUM
MEDIUM,55956319912011102610531903909866,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,55956319912011102610531903909866,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,55956319912011102610531903909866,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,55956319912011102610531903909866,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,55980470802011103118352913009200,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,55980470802011103118352913009200,1,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,55980470802011103118352913009200,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,55980470802011103118352913009200,2,EPC-H2,Add time control to heating system.,MEDIUM
LONG,55980470802011103118352913009200,2,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,55980470802011103118352913009200,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,55980470802011103118352913009200,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,55980470802011103118352913009200,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,55980470802011103118352913009200,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,55980470802011103118352913009200,5,EPC-R3,Consider installing solar water heating.,LOW
LONG,56536760962011111411250947090150,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
MEDIUM,56536760962011111411250947090150,1,EPC-H2,Add time control to heating system.,MEDIUM
SHORT,56536760962011111411250947090150,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,56536760962011111411250947090150,2,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
SHORT,56536760962011111411250947090150,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,56536760962011111411250947090150,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
MEDIUM,56536760962011111411250947090150,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,56536760962011111411250947090150,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
SHORT,56536760962011111411250947090150,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,56536760962011111411250947090150,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,56536760962011111411250947090150,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,56536760962011111411250947090150,5,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,HIGH
LONG,56536780402011120511105280709990,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,56536780402011120511105280709990,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,56536780402011120511105280709990,1,EPC-H2,Add time control to heating system.,MEDIUM
SHORT,56536780402011120511105280709990,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,56536780402011120511105280709990,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,56536780402011120511105280709990,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,56536780402011120511105280709990,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,56536780402011120511105280709990,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,56536780402011120511105280709990,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,56536780402011120511105280709990,4,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
LONG,56536780402011120511105280709990,5,EPC-H5,Add local time control to heating system.,MEDIUM
MEDIUM,56903620922011112314325348090150,1,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,56903620922011112314325348090150,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,56903620922011112314325348090150,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,56903620922011112314325348090150,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,56903620922011112314325348090150,2,EPC-R3,Consider installing solar water heating.,LOW
LONG,56903620922011112314325348090150,3,EPC-W1,Install more efficient water heater.,LOW
LONG,56903620922011112314325348090150,4,EPC-W2,Consider replacing HWS with point of use system.,LOW
LONG,56903620922011112314325348090150,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,34237664952010042010305808009567,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,34237664952010042010305808009567,1,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,34237664952010042010305808009567,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
LONG,34237664952010042010305808009567,2,EPC-R1,Consider installing a ground source heat pump.,HIGH
SHORT,34237664952010042010305808009567,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
MEDIUM,34237664952010042010305808009567,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,34237664952010042010305808009567,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,34237664952010042010305808009567,3,EPC-H2,Add time control to heating system.,MEDIUM
LONG,34237664952010042010305808009567,3,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
MEDIUM,34237664952010042010305808009567,4,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,34237664952010042010305808009567,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,34237664952010042010305808009567,4,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
MEDIUM,34237664952010042010305808009567,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
LONG,34237664952010042010305808009567,5,EPC-R3,Consider installing solar water heating.,LOW
SHORT,34237664952010042010305808009567,5,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
SHORT,34237664952010042010305808009567,6,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,34237664952010042010305808009567,6,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
SHORT,34237664952010042010305808009567,7,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,34237664952010042010305808009567,8,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,34267880952010042012251801009938,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,34267880952010042012251801009938,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
MEDIUM,34267880952010042012251801009938,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,34267880952010042012251801009938,2,EPC-H5,Add local time control to heating system.,LOW
SHORT,34267880952010042012251801009938,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,34267880952010042012251801009938,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,34267880952010042012251801009938,3,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
LONG,34267880952010042012251801009938,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,34267880952010042012251801009938,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,34267880952010042012251801009938,4,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
MEDIUM,34267880952010042012251801009938,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,34267880952010042012251801009938,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,34267880952010042012251801009938,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,34267880952010042012251801009938,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,34267880952010042012251801009938,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,34267880952010042012251801009938,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,34267880952010042012251801009938,8,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,34309471032010042109571390000803,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,34309471032010042109571390000803,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
SHORT,34309471032010042109571390000803,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,34309471032010042109571390000803,2,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,34309471032010042109571390000803,2,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
MEDIUM,34309471032010042109571390000803,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,34309471032010042109571390000803,3,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,34309471032010042109571390000803,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,34309471032010042109571390000803,3,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
LONG,34309471032010042109571390000803,4,EPC-R3,Consider installing solar water heating.,LOW
SHORT,34309471032010042109571390000803,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,34309471032010042109571390000803,4,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,34309471032010042109571390000803,5,EPC-R4,Consider installing PV.,LOW
SHORT,34309471032010042109571390000803,5,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
MEDIUM,34309471032010042109571390000803,5,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,34309471032010042109571390000803,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,34309471032010042109571390000803,6,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,34309471032010042109571390000803,7,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
SHORT,34309471032010042109571390000803,8,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,34563980032010042711402752000590,1,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
MEDIUM,34563980032010042711402752000590,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
SHORT,34563980032010042711402752000590,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,34563980032010042711402752000590,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,34563980032010042711402752000590,2,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
MEDIUM,34563980032010042711402752000590,2,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,34563980032010042711402752000590,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,34563980032010042711402752000590,3,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,34563980032010042711402752000590,3,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,HIGH
LONG,34563980032010042711402752000590,4,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,34563980032010042711402752000590,4,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,34563980032010042711402752000590,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,34563980032010042711402752000590,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,34563980032010042711402752000590,5,EPC-R4,Consider installing PV.,LOW
SHORT,34563980032010042711402752000590,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,34563980032010042711402752000590,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
MEDIUM,34563980032010042711402752000590,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
MEDIUM,34563980032010042711402752000590,7,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
SHORT,34563980032010042711402752000590,7,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,34765245912010043012001407009764,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,34765245912010043012001407009764,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,34765245912010043012001407009764,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,34765245912010043012001407009764,2,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,34765245912010043012001407009764,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,34765245912010043012001407009764,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,34765245912010043012001407009764,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,34765245912010043012001407009764,3,EPC-R3,Consider installing solar water heating.,LOW
